"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-74.29114499999997 4.748722000000043)","EL CORZO","El Corzo - Madrid","El Corzo - Madrid","Occidente - Oriente Faca  - Bogota","57","513","(571) 893 09 77","3792200 – 8930977 300 2134184 - 310 3042774 - #235 Tigo -  Movistar y Claro","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,800","17,600","15,400","20,300","34,400","46,400","50,200","0","0","0","0","0","0","500","0","0","0","0","500","500","500","0","0","0","1","95","5008A","0","0","0","4.74867879","-74.2911216","INVIAS","12"
"POINT (-75.52659550699997 6.345100750000029)","NIQUÍA","Km 15+000 Autopista norte","Medellìn - Hoyo Rico","Norte","0","0","(054) 312 11 99-325 06 60","4678141 - 3108992853 - 3108992853 - 2544670 - 01-8000-522-44-77","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","2,500","2,500","3,200","3,400","3,400","3,400","3,400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","156","2510","0","0","0","6.34510075","6.34510075","Concesión Hatovial S.A.S","1"
"POINT (-72.15662399999997 11.36761400000006)","PARAGUACHÓN","Ubicación: 84+475 Tramo que cubre:Cuatro vías - Paraguachón","Riohacha - Paraguachón","Aplica en ambos sentido de circulación","84","476","(5) 728 85 43","3143300807 - (5) 7288542 /43","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","12,300","19,000","15,300","24,100","35,200","56,600","71,400","0","0","2,900","0","0","4,800","5,500","0","0","3,300","0","3,300","3,300","3,300","0","0","0","2","145","9010","0","0","0","11.36760313","11.36760313","Concesión  Santa Marta Paraguachón S.A.","13"
"POINT (-74.48318539999997 4.883413076000068)","GUAYABAL","Peaje Rio Bogotá – Facatativa – Villeta – Viani – Cambao Km 63 Jurisdicción del Municipio de Guayabal","Guayabal de Síquima - Cambao","Norte - occidente // occidente - norte","0","0","3138879089","3184666166","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","12,400","16,800","14,100","19,600","35,300","45,700","55,000","0","0","0","0","0","7,900","0","0","0","0","0","11,900","9,700","13,300","24,500","32,100","0","3","162",,"0","0","0","4.88341308","4.88341308","CONCESIÓN PANAMERICANA","12"
"POINT (-75.07477699999998 6.536330000000021)","CISNEROS","KM 03+000 RUTA 6206. Via Cisneros - Puerto Berrio","Cisneros - Alto de Dolores","Aplica en ambos sentidos. Tramo que cubre: Cisneros - Antes de la entrada a la vía secundaria hacia","1","240","311 739 5570 – 018000413724 – (4) 8603102","321 812 2264","http://hermes.invias.gov.co/carreteras/images/peajes/cisneros.jpg","18,000","21,900","21,900","21,900","49,000","63,700","71,400","0","0","0","0","0","1,600","3,100","0","0","0","0","3,400","0","0","0","0","0","2","46","6206","8,700","8,400","6,400","6.53633032","6.53633032","Concesión Vías del Nus – VINUS S.A.S","1"
"POINT (-75.58741799999996 5.027062000000058)","PAVAS (TRINIDAD I)","Club Campestre – La Trinidad Km. 1 + 200","Club Campestre - La Trinidad","Ambos sentidos de circulación","1","211","3138176567 #850","(6) 3282720","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","14,600","17,500","17,500","17,500","42,600","53,200","61,600","0","0","0","0","0","3,200","3,700","0","0","0","0","4,100","4,300","0","0","0","0","2","44","29CL03-1","0","0","0","5.02705324","5.02705324","CONCESIÓN AUTOPISTAS DEL CAFE","5"
"POINT (-72.94374799999997 4.678609000000051)","SAN PEDRO","Villanueva - Monterrey Km.15+000","Barranca de Upía - Monterrey","Bidireccional","0","0","3178942293  - 018000180818","3168341260","http://hermes.invias.gov.co/carreteras/images/peajes/san_pedro.jpg","10,800","11,600","24,600","31,300","35,000","0","0","0","0","0","0","0","2,300","2,600","0","0","0","0","0","0","0","0","0","0","2","122","6511","8,700","8,400","6,400","4.67858553","4.67858553","Concesiónaria Vial del Oriente - COVIORIENTE S.A.S","7"
"POINT (-74.50138099999998 6.496662000000072)","PUERTO BERRÍO","Vía Alto de Dolores - Puerto Berrío","Cisneros - Puerto Berrío (Incluye el Puente sobre el Río Magdalena)","Aplica en ambos sentido de circulación","85","295","0348326778","3183729221","http://hermes.invias.gov.co/carreteras/images/peajes/puerto_berrio.jpg","10,900","12,100","12,100","12,100","24,800","31,500","35,500","0","0","0","0","0","2,000","2,300","0","0","0","0","2,500","0","0","0","0","0","2","115","6206","8,700","8,400","6,400","6.49664966","6.49664966","Concesión Autopistas del Río Magdalena","1"
"POINT (-74.03308099999998 4.830003000000033)","ANDES","Sector Bogotá (calle 236)-Briceño","Bogotá-La Caro-Tunja","Sur Norte Aplica Únicamente saliendo de Bogotá","2","723","676 06 52","6760652 - 6762948  3125194023 – 3125196546","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,100","19,200","12,500","27,800","42,100","54,000","59,900","0","0","0","0","0","0","0","0","0","0","0","15,700","0","0","0","0","0","2","79","5501","0","0","8,000","4.82267931","4.82267931","CONCESIÓN ACCENORTE","12"
"POINT (-74.94501499999996 10.208106000000043)","CALAMAR","Tramo que cubre:Vía Aguztín Codazzi - San Diego","San Roque - La Paz","Ambos sentidos de circulación","131","39","3162954845 - #270 Claro","3162954845","http://hermes.invias.gov.co/carreteras/images/peajes/calamar.jpg","16,300","20,100","25,000","31,600","48,200","0","0","0","0","0","0","0","2,700","3,100","0","0","0","0","0","0","0","0","0","0","2","33","2515","8,700","8,400","8,500","10.20812679","10.20812679","Concesión Montes de Maria","2"
"POINT (-75.59999512899998 5.3915978760000485)","SUPÍA","Vía La Felisa – La Pintada","La Felisa - La Pintada","Ambos sentidos de circulación","63","434","LINEA GRATUITA: 018000423780 LINEA CELULAR: 3219738470","3219738470","http://hermes.invias.gov.co/carreteras/images/peajes/supia.jpg","16,100","21,300","21,300","21,300","47,800","69,600","77,700","0","0","0","0","7,500","0","0","0","0","0","0","0","0","0","0","0","0","2","20","2508","8,700","8,400","6,400","5.39159788","5.39159788","Concesión Pacífico Tres","5"
"POINT (-75.20375799999994 3.3937870000000316)","EL PATÁ","Vía Neiva – Castilla Km 54+400 Jurisdicción de Aipe","Neiva - Natagaima","Aplica en ambos sentidos de circulación","53","376","667 10 30","3153340727 – 3174340907 - 3502621485","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","15,700","19,400","23,900","30,300","46,300","58,000","67,100","0","0","0","0","0","0","1,600","0","0","0","0","0","5,300","0","0","0","0","2","67","4506","0","0","0","3.39380979","3.39380979","Concesión Autovía Neiva – Girardot","14"
